"","PC1","PC2","Group"
"1",3.28458501050113,-0.744227416925037,"Motley"
"2",1.79166174500227,0.316634646451566,"Motley"
"3",1.42029326118601,2.36804170373367,"Motley"
"4",2.36445925218471,-1.75212046228086,"Motley"
"5",2.24039830900564,-2.16025179893608,"Motley"
"6",0.370039971327566,0.378800599309071,"Motley"
"7",2.18211413760379,-0.250594192019626,"Motley"
"8",1.37692354160285,0.134276875109138,"Motley"
"9",2.91942407003982,-4.96747770401543,"Motley"
"10",1.49608975961335,2.66176601189975,"Motley"
"11",2.23374129386976,-1.29577797785171,"Motley"
"12",2.46286083187217,-2.66557049162768,"Motley"
"13",1.08222521469294,1.12307142423947,"Motley"
"14",1.04380214279976,0.546241009027525,"Motley"
"15",0.920542272582483,-1.1233720952486,"Motley"
"16",-0.0156163762944594,-0.0612658141251085,"Delhi"
"17",0.672461164376353,0.769536679801726,"Delhi"
"18",-0.0682263788933723,0.291516710018217,"Delhi"
"19",0.417189102121385,-1.31262979552832,"Delhi"
"20",-0.00472522965038538,-1.29388513278124,"Delhi"
"21",1.9462512198966,0.228729222472933,"Delhi"
"22",-0.0501756005622221,1.48618285191344,"Delhi"
"23",0.454442555459664,-1.36568627866043,"Delhi"
"24",1.25052876779144,-1.77114779104752,"Delhi"
"25",1.370935769304,-0.371889828798914,"Delhi"
"26",0.417949103258235,2.14520078841381,"Epps"
"27",0.940719069772721,0.518133834726852,"Epps"
"28",0.722098392084116,0.877347236731631,"Epps"
"29",0.20594274876727,2.03048986341688,"Epps"
"30",1.01751967712393,-0.0297831286740595,"Epps"
"31",1.92753686039193,-2.76472717174826,"Epps"
"32",1.33109756531762,2.530072682884,"Epps"
"33",0.599025724369178,0.881307813231209,"Epps"
"34",1.69755926991412,1.08962272061201,"Epps"
"35",1.41917566471077,2.0894915765162,"Epps"
"36",1.18800922864123,0.335268728848207,"Epps"
"37",0.781733313441327,3.79586580851445,"Epps"
"38",-3.28896332115332,-4.97874629709114,"Gary"
"39",-4.25746314140824,1.54111793913585,"Gary"
"40",-2.4960955269433,2.29308715181301,"Gary"
"41",-2.97182326807899,-1.76469721448007,"Gary"
"42",-4.8932352655478,0.28678806285169,"Gary"
"43",-6.07262915982458,-4.97596060797395,"Gary"
"44",-2.94518613444131,-1.35215359790024,"Gary"
"45",-3.83499339835957,-0.395481236629135,"Gary"
"46",-4.61950882013835,2.37979579891179,"Gary"
"47",-3.3000151836,4.9824292680632,"Gary"
"48",-6.73067920573024,-0.683370974303849,"Gary"
